GAME_DETAILS_ID,GAME_ID,TEAM_ID,PLAYER_ID,START_POSITION,COMMENT,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,PLUS_MINUS
1,21900895,1610612749,202083,F,,27:08,3,11,273,2,7,286,0,0,0,4,4,8,2,2,0,0,0,8,11
2,21900895,1610612749,203507,F,,34:55,17,28,607,1,4,0,6,7,857,2,18,20,6,1,0,3,2,41,22
3,21900895,1610612749,201572,C,,26:25,4,11,364,1,5,0,7,9,778,2,5,7,0,0,3,0,2,16,16
4,21900895,1610612749,1628978,G,,27:35,1,5,0,0,3,0,0,0,0,1,6,7,5,0,1,2,0,2,14
5,21900895,1610612749,202339,G,,22:17,2,8,0,0,1,0,0,0,0,1,0,1,2,1,0,3,2,4,6
6,21900895,1610612749,1626192,,,24:52,2,5,0,1,4,0,1,2,1,2,3,5,1,0,0,1,2,6,0
7,21900895,1610612749,201577,,,13:18,1,5,0,0,0,0,0,0,0,1,2,3,0,0,1,2,1,2,-12
8,21900895,1610612749,1628425,,,18:10,1,2,1,1,2,1,0,0,0,0,3,3,0,0,0,1,0,3,-8
9,21900895,1610612749,101107,,,19:37,0,1,0,0,1,0,0,0,0,0,2,2,2,1,1,1,1,0,-11
10,21900895,1610612749,201588,,,25:43,4,11,364,1,4,0,2,3,667,2,3,5,2,2,0,3,1,11,2
11,21900895,1610612749,203648,,DNP - Coach's Decision                  ,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,21900895,1610612749,101141,,DNP - Coach's Decision                  ,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,21900895,1610612749,1628391,,DNP - Coach's Decision                  ,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,21900895,1610612766,1628970,F,,35:15,3,13,231,1,7,143,0,0,0,1,3,4,2,2,2,2,2,7,-4
15,21900895,1610612766,1629023,F,,31:52,5,14,357,1,8,125,1,1,1,1,5,6,3,0,2,2,3,12,-13
16,21900895,1610612766,202687,C,,22:07,2,8,0,0,0,0,4,4,1,4,5,9,2,0,2,1,3,8,-15
17,21900895,1610612766,1628984,G,,32:21,7,18,389,3,8,375,0,1,0,0,2,2,3,1,0,0,2,17,-14
18,21900895,1610612766,1626179,G,,36:05,6,18,333,0,3,0,1,1,1,2,1,3,4,1,0,2,2,13,-20
19,21900895,1610612766,1628998,,,29:08,4,8,1,2,5,0,1,1,1,0,5,5,2,0,1,1,2,11,2
20,21900895,1610612766,1629667,,,9:21,1,2,1,0,1,0,0,0,0,0,1,1,1,0,1,0,1,2,0
21,21900895,1610612766,1626195,,,20:21,4,9,444,0,1,0,2,2,1,3,10,13,4,2,0,1,0,10,11
22,21900895,1610612766,1628997,,,23:30,2,6,333,1,2,1,0,0,0,1,3,4,1,1,0,1,3,5,13
23,21900895,1610612766,201587,,DNP - Coach's Decision                  ,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,21900895,1610612766,1629147,,DNP - Coach's Decision                  ,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,21900895,1610612766,1628370,,NWT_LEAGUE_SUSPENSION                   ,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,21900895,1610612766,203469,,DNP - Coach's Decision                  ,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,21900896,1610612742,203501,F,,31:46,7,16,438,2,7,286,3,3,1,0,6,6,0,2,0,1,1,19,37
28,21900896,1610612742,1627827,F,,30:51,4,6,667,0,0,0,1,2,1,2,9,11,4,2,1,2,3,9,35
29,21900896,1610612742,204001,C,,36:54,13,25,1,6,14,429,6,10,1,2,11,13,4,1,5,2,2,38,22
30,21900896,1610612742,1626153,G,,31:55,2,9,222,0,3,0,0,0,0,0,8,8,6,3,0,2,2,4,5
31,21900896,1610612742,203552,G,,29:51,11,17,647,3,7,429,2,4,1,0,1,1,4,1,0,1,1,27,6
32,21900896,1610612742,1628382,,,19:43,1,4,0,0,2,0,0,0,0,1,1,2,0,0,0,1,1,2,-13
