"Equipe","Jogador","Pontos"
"Bucks","Giannis Antetokounmpo","41"
"76ers","Shake Milton","39"
"Mavericks","Kristaps Porzingis","38"
"Trail Blazers","CJ McCollum","35"
"Lakers","LeBron James","34"
"Wizards","Bradley Beal","34"
"Raptors","OG Anunoby","32"
"Clippers","Kawhi Leonard","30"
"Wizards","Davis Bertans","29"
"Warriors","Andrew Wiggins","27"
"Cavaliers","Andre Drummond","27"
"Mavericks","Seth Curry","27"
"Bulls","Zach LaVine","26"
"76ers","Tobias Harris","25"
"Hawks","Trae Young","25"
"Nets","Spencer Dinwiddie","25"
"Grizzlies","Dillon Brooks","24"
"Hawks","John Collins","24"
"Clippers","Lou Williams","24"
"Raptors","Norman Powell","24"
"Clippers","Paul George","24"
"Kings","De'Aaron Fox","23"
"Pacers","Malcolm Brogdon","22"
"Bulls","Coby White","22"
"Knicks","Julius Randle","22"
"Nuggets","Jamal Murray","22"
"Lakers","Kyle Kuzma","20"
"Pistons","Christian Wood","20"
"Cavaliers","Kevin Love","20"
"Nets","Joe Harris","20"
"Heat","Goran Dragic","19"
"Kings","Buddy Hield","19"
"Mavericks","Tim Hardaway Jr.","19"
"Pacers","Victor Oladipo","19"
"Knicks","RJ Barrett","19"
"Hawks","Kevin Huerter","19"
"Pelicans","Lonzo Ball","19"
"Lakers","LeBron James","19"
"Pacers","Domantas Sabonis","18"
"Knicks","Taj Gibson","17"
"Warriors","Jordan Poole","17"
"Raptors","Kyle Lowry","17"
"Warriors","Mychal Mulder","17"
"Hornets","Devonte' Graham","17"
"Warriors","Eric Paschall","17"
"Raptors","Pascal Siakam","16"
"Heat","Jimmy Butler","16"
"Timberwolves","D'Angelo Russell","16"
"Bucks","Brook Lopez","16"
"Pistons","Brandon Knight","16"
"Nuggets","Jerami Grant","16"
"Cavaliers","Collin Sexton","16"
"Nets","Caris LeVert","15"
"Kings","Bogdan Bogdanovic","15"
"Lakers","Anthony Davis","15"
"Wizards","Rui Hachimura","15"
"Trail Blazers","Gary Trent Jr.","15"
"Pelicans","Brandon Ingram","15"
"76ers","Alec Burks","15"
"Pistons","Svi Mykhailiuk","14"
"Cavaliers","Kevin Porter Jr.","14"
"Clippers","Reggie Jackson","13"
"Hornets","Terry Rozier","13"
"Lakers","Kentavious Caldwell-Pope","13"
"Heat","Jae Crowder","13"
"Nuggets","Monte Morris","12"
"Timberwolves","Jarrett Culver","12"
"Trail Blazers","Carmelo Anthony","12"
"Wizards","Thomas Bryant","12"
"Timberwolves","Juancho Hernangomez","12"
"Hawks","Treveon Graham","12"
"Pistons","Tony Snell","12"
"Knicks","Kevin Knox II","12"
"Hornets","P.J. Washington","12"
"Heat","Derrick Jones Jr.","12"
"76ers","Al Horford","12"
"Nuggets","Will Barton","11"
"Pelicans","Jrue Holiday","11"
"Nuggets","Michael Porter Jr.","11"
"Hornets","Cody Martin","11"
"Bucks","George Hill","11"
"Hornets","Willy Hernangomez","10"
"Nets","Taurean Prince","10"
"Kings","Harrison Barnes","10"
"Trail Blazers","Trevor Ariza","10"
"Pelicans","Nicolo Melli","10"
"Heat","Duncan Robinson","10"
"Lakers","Kyle Kuzma","10"
"Lakers","Avery Bradley","10"
"Trail Blazers","Anfernee Simons","10"
"Pistons","John Henson","10"
"Pistons","Derrick Rose","9"
"Lakers","Alex Caruso","9"
"Clippers","Marcus Morris Sr.","9"
"Wizards","Shabazz Napier","9"
"Pacers","Doug McDermott","9"
"Knicks","Maurice Harkless","9"
"Timberwolves","Naz Reid","9"
"76ers","Furkan Korkmaz","8"
"Cavaliers","Cedi Osman","8"
"Raptors","Terence Davis","8"
"Bulls","Adam Mokoka","8"
"Heat","Kelly Olynyk","7"
"76ers","Matisse Thybulle","7"
"Kings","Kent Bazemore","7"
"Bucks","Pat Connaughton","6"
"Bulls","Tomas Satoransky","6"
"Wizards","Jerome Robinson","6"
"Timberwolves","Jake Layman","6"
"Cavaliers","Larry Nance Jr.","5"
"Pistons","Sekou Doumbouya","5"
"Raptors","Chris Boucher","5"
"Timberwolves","Jordan McLaughlin","4"
"Knicks","Frank Ntilikina","4"
"Hawks","Jeff Teague","3"
"Knicks","Elfrid Payton","3"
"Wizards","Troy Brown Jr.","2"
"Nets","Rodions Kurucs","2"
"76ers","Kyle O'Quinn","2"
