"Equipe","Pontos"
"Rockets","145"
"Spurs","145"
"Mavericks","141"
"Grizzlies","140"
"Knicks","139"
"Rockets","139"
"Suns","139"
"Bucks","137"
"Jazz","136"
"Pistons","136"
"Lakers","136"
"Rockets","135"
"Clippers","135"
"Knicks","135"
"Nuggets","134"
"Clippers","134"
"Wizards","133"
"Clippers","133"
"Wizards","133"
"Kings","133"
"Suns","133"
"Mavericks","133"
"Clippers","133"
"Clippers","133"
"Rockets","133"
"Spurs","133"
"Knicks","132"
"Jazz","132"
"Wizards","131"
"Suns","131"
"Warriors","131"
"Rockets","131"
"Nets","130"
"Rockets","130"
"Raptors","130"
"Magic","130"
"Magic","130"
"76ers","130"
"Spurs","129"
"Pacers","129"
"Nuggets","129"
"Lakers","129"
"Jazz","129"
"Pacers","129"
"Lakers","129"
"Timberwolves","129"
"Wizards","129"
"Jazz","128"
"Nuggets","128"
"Lakers","128"
"Pelicans","128"
"Lakers","128"
"Bucks","127"
"Nuggets","127"
"Grizzlies","127"
"Magic","127"
"Jazz","127"
"Celtics","127"
"Bucks","127"
"Pistons","127"
"Trail Blazers","127"
"Mavericks","127"
"Hawks","127"
"Suns","127"
"Jazz","127"
"Bucks","127"
"Timberwolves","127"
"Timberwolves","126"
"Rockets","126"
"Hawks","126"
"Bucks","126"
"Pelicans","126"
"Lakers","125"
"Pelicans","125"
"Warriors","125"
"Grizzlies","125"
"Lakers","125"
"Timberwolves","125"
"Pelicans","125"
"Grizzlies","125"
"Spurs","125"
"Timberwolves","125"
"Nuggets","125"
"76ers","125"
"Clippers","124"
"Warriors","124"
"Thunder","124"
"Lakers","124"
"Kings","124"
"Trail Blazers","124"
"Wizards","124"
"Wizards","124"
"Knicks","124"
"Heat","124"
"Pelicans","124"
"Mavericks","124"
"Nuggets","124"
"Nuggets","123"
"Suns","123"
"Pelicans","123"
"Grizzlies","123"
"Thunder","123"
"Jazz","123"
"Bucks","123"
"Nuggets","123"
"Hornets","123"
"Timberwolves","123"
"Celtics","123"
"Timberwolves","123"
"Hornets","123"
"Celtics","123"
"Bucks","123"
"Rockets","122"
"Raptors","122"
"Rockets","122"
"Mavericks","122"
"Clippers","122"
"Mavericks","122"
"Raptors","122"
"Clippers","122"
"Lakers","122"
"Trail Blazers","122"
"Hawks","122"
"Bucks","122"
"Warriors","122"
"Suns","122"
"Magic","122"
"Heat","122"
"Timberwolves","122"
"Heat","122"
"Grizzlies","122"
"Trail Blazers","122"
"Warriors","121"
"Lakers","121"
"Spurs","121"
"Suns","121"
"Suns","121"
"Heat","121"
"Nets","121"
"Hawks","121"
"Hawks","121"
"Heat","121"
"Wizards","121"
"Rockets","121"
"Raptors","121"
"Grizzlies","121"
"Rockets","121"
"Spurs","121"
"Grizzlies","121"
"Mavericks","121"
"Spurs","121"
"Thunder","121"
"Thunder","120"
"Nuggets","120"
"Jazz","120"
"Bucks","120"
"Rockets","120"
"Timberwolves","120"
"Spurs","120"
"Jazz","120"
"Rockets","120"
"Thunder","120"
"Lakers","120"
"Celtics","120"
"Hawks","120"
"Spurs","120"
"Mavericks","120"
"Bulls","119"
"Magic","119"
"Cavaliers","119"
"Kings","119"
"Rockets","119"
"Wizards","119"
"Lakers","119"
"Thunder","119"
"Heat","119"
"Thunder","119"
"Wizards","118"
"Bulls","118"
"Thunder","118"
"Spurs","118"
"Rockets","118"
"Mavericks","118"
"Timberwolves","118"
"Clippers","118"
"Bulls","118"
"Mavericks","118"
"Mavericks","118"
"Hawks","118"
"Celtics","118"
"Jazz","118"
"Spurs","118"
"Nets","118"
"Nets","118"
"Raptors","118"
"Raptors","118"
"Pacers","118"
"Wizards","118"
"Celtics","118"
"76ers","117"
"Trail Blazers","117"
"Warriors","117"
"Trail Blazers","117"
"Cavaliers","117"
"Pelicans","117"
"Spurs","117"
"76ers","117"
"Thunder","117"
"Bucks","117"
"Trail Blazers","117"
"Nuggets","117"
"Wizards","117"
"Cavaliers","117"
"Pelicans","117"
"Mavericks","117"
"Wizards","117"
"Celtics","117"
"Pacers","116"
"Cavaliers","116"
"Bucks","116"
"Mavericks","116"
"Raptors","116"
"Rockets","116"
"Rockets","116"
"76ers","116"
"Lakers","116"
"Pistons","116"
"Knicks","116"
"Cavaliers","116"
"Timberwolves","116"
"Warriors","116"
"Kings","116"
"Bucks","115"
"Cavaliers","115"
"Nets","115"
"Raptors","115"
"Grizzlies","115"
"Pistons","115"
"Cavaliers","115"
"Thunder","115"
"76ers","115"
"Pistons","115"
"Trail Blazers","115"
"Heat","115"
"Raptors","115"
"Bulls","115"
"Pacers","115"
"Kings","115"
"Pelicans","115"
"Raptors","115"
"Kings","115"
"Kings","115"
"Magic","115"
"Warriors","115"
"Clippers","115"
"Hornets","115"
"Pacers","115"
"Pistons","115"
"Nets","115"
"Suns","114"
"Hawks","114"
"Timberwolves","114"
"Knicks","114"
"76ers","114"
"Trail Blazers","114"
"Kings","114"
"Clippers","114"
"Magic","114"
"Jazz","114"
"Bulls","114"
"Nuggets","114"
"Celtics","114"
"Spurs","114"
"Wizards","114"
"Timberwolves","114"
"Jazz","114"
"Wizards","114"
"Pistons","114"
"Mavericks","113"
"Warriors","113"
"Pistons","113"
"Raptors","113"
"Heat","113"
"Nuggets","113"
"Mavericks","113"
"Magic","113"
"Pacers","113"
"Lakers","113"
"76ers","113"
"Lakers","113"
"Pelicans","113"
"Nets","113"
"Nuggets","113"
"Spurs","113"
"Raptors","113"
"Rockets","113"
"Heat","113"
"Cavaliers","113"
"Thunder","113"
"Hornets","113"
"Thunder","113"
"Warriors","113"
"Kings","113"
"Trail Blazers","113"
"Cavaliers","113"
"Nets","113"
"Magic","112"
"Pacers","112"
"Hawks","112"
"Trail Blazers","112"
"Clippers","112"
"Trail Blazers","112"
"Celtics","112"
"Warriors","112"
"Clippers","112"
"Timberwolves","112"
"Thunder","112"
"Rockets","112"
"Warriors","112"
"Magic","112"
"Suns","112"
"Kings","112"
"Clippers","112"
"Grizzlies","112"
"Pacers","112"
"Pistons","112"
"Raptors","112"
"Knicks","112"
"Bucks","112"
"Kings","112"
"Knicks","112"
"Raptors","112"
"Pistons","112"
"Pelicans","112"
"Celtics","112"
"Pelicans","112"
"Mavericks","112"
"Grizzlies","112"
"Hawks","112"
"Pacers","112"
"Spurs","112"
"Rockets","112"
"Clippers","112"
"Suns","112"
"Hawks","112"
"Hornets","112"
"Raptors","111"
"Rockets","111"
"Cavaliers","111"
"Grizzlies","111"
"Trail Blazers","111"
"Jazz","111"
"Pelicans","111"
"Celtics","111"
"Nets","111"
"Wizards","111"
"Clippers","111"
"Hawks","111"
"Bucks","111"
"Pistons","111"
"Celtics","111"
"Mavericks","111"
"Grizzlies","111"
"76ers","111"
"Wizards","111"
"Trail Blazers","111"
"Nets","111"
"Thunder","111"
"Trail Blazers","111"
"Thunder","111"
"Pacers","111"
"Heat","111"
"Hawks","111"
"Celtics","111"
"Bucks","111"
"Spurs","111"
"Trail Blazers","111"
"Heat","111"
"Kings","111"
"Bulls","111"
"Nets","111"
"Pistons","111"
"Spurs","111"
"Nuggets","111"
"Wizards","111"
"Pistons","111"
"Bucks","111"
"Nets","111"
"Kings","111"
"Rockets","110"
"Heat","110"
"Hornets","110"
"Bulls","110"
"Grizzlies","110"
"Rockets","110"
"Thunder","110"
"Pacers","110"
"Grizzlies","110"
"Clippers","110"
"Suns","110"
"Cavaliers","110"
"76ers","110"
"Clippers","110"
"Grizzlies","110"
"Kings","110"
"Timberwolves","110"
"Bulls","110"
"Raptors","110"
"Rockets","110"
"Bucks","110"
"Grizzlies","109"
"Suns","109"
"Timberwolves","109"
"Celtics","109"
"Knicks","109"
"Thunder","109"
"Jazz","109"
"Pelicans","109"
"Heat","109"
"Pelicans","109"
"Timberwolves","109"
"Spurs","109"
"Celtics","109"
"Heat","109"
"Celtics","109"
"Cavaliers","109"
"Pelicans","109"
"Mavericks","109"
"Pistons","109"
"Timberwolves","109"
"Warriors","109"
"Suns","109"
"Clippers","109"
"Suns","109"
"Hornets","109"
"Mavericks","109"
"Celtics","109"
"Bucks","109"
"Pistons","109"
"Spurs","109"
"76ers","108"
"Celtics","108"
"Cavaliers","108"
